,Task,Priority,InterArrival,Arrival,ServiceTime,FinishTime,SystemTime,WaitingTime,TimeOut,TimeOuted
0,0,3,11,0,5,5,5,0,33,False
1,1,3,7,7,4,11,4,0,34,False
2,2,3,10,17,6,25,8,2,32,False
3,3,3,4,21,4,27,6,2,32,False
4,4,3,5,26,4,31,5,1,34,False
5,5,2,8,34,4,38,4,0,36,False
6,6,3,7,41,4,45,4,0,32,False
7,7,3,11,52,4,56,4,0,35,False
8,8,2,10,62,4,66,4,0,32,False
9,9,3,9,71,5,76,5,0,33,False
10,10,3,6,77,4,81,4,0,32,False
11,11,3,6,83,4,87,4,0,32,False
12,12,2,7,90,7,97,7,0,33,False
13,13,3,17,107,4,111,4,0,32,False
14,14,3,11,118,4,122,4,0,33,False
15,15,3,6,124,4,128,4,0,32,False
16,16,3,11,135,5,140,5,0,32,False
17,17,3,7,142,6,150,8,2,34,False
18,18,3,5,147,5,153,6,1,33,False
19,19,3,6,153,4,157,4,0,32,False
20,20,3,4,157,5,162,5,0,32,False
21,21,3,8,165,5,170,5,0,32,False
22,22,3,9,174,4,178,4,0,33,False
23,23,3,4,178,4,182,4,0,32,False
24,24,3,14,192,4,196,4,0,36,False
25,25,2,8,200,4,204,4,0,32,False
26,26,1,12,212,4,216,4,0,32,False
27,27,2,12,224,7,231,7,0,32,False
28,28,3,7,231,4,235,4,0,35,False
29,29,3,8,239,6,245,6,0,33,False
30,30,3,7,246,4,250,4,0,32,False
31,31,3,10,256,4,260,4,0,32,False
32,32,3,7,263,4,267,4,0,32,False
33,33,3,13,276,4,280,4,0,33,False
34,34,3,8,284,7,291,7,0,32,False
35,35,3,8,292,5,297,5,0,32,False
36,36,3,11,303,4,307,4,0,32,False
37,37,1,7,310,4,314,4,0,34,False
38,38,3,7,317,7,327,10,3,32,False
39,39,3,6,323,5,329,6,1,32,False
40,40,2,9,332,4,336,4,0,33,False
41,41,2,6,338,4,342,4,0,32,False
42,42,3,9,347,4,351,4,0,33,False
43,43,3,9,356,4,360,4,0,32,False
44,44,2,4,360,5,365,5,0,34,False
45,45,2,9,369,4,373,4,0,34,False
46,46,1,8,377,4,381,4,0,33,False
47,47,3,8,385,4,389,4,0,32,False
48,48,2,8,393,4,397,4,0,32,False
49,49,1,6,399,4,403,4,0,32,False
